property_type,society,sector,price,pricePerSqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,others,store room,pooja room,servant room,furnishing_type,luxury_score,area_per_bedroom
flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively New,833.0,0,0,0,0,0,5,33,375.0
flat,godrej nature plus,sector 33,1.55,9955.0,3,2,3+,8.0,New Property,1730.0,0,0,0,0,0,0,40,519.0
flat,ramprastha city,sector 92,1.3,9028.0,3,3,2,3.0,Under Construction,1303.0,0,0,0,0,0,0,0,480.0
flat,smartworld 1dxp,sector 113,2.75,10589.0,4,4,3+,20.0,Under Construction,2886.0,1,0,0,1,1,2,55,649.25
flat,ansal housing highland park,sector 103,1.25,6443.0,3,3,3+,2.0,New Property,1464.0,0,0,0,1,0,0,124,646.6666666666666
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3,2,2,1.0,Under Construction,630.0,0,0,0,0,0,0,0,189.0
flat,breez global heights,sector 33,0.4,6421.0,2,2,1,4.0,New Property,615.0,0,0,0,0,0,0,46,311.5
flat,trisara our homes 3,sector 33,0.34,5405.0,2,2,1,0.0,New Property,699.0,0,0,0,0,0,0,0,314.5
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,3,3.0,New Property,1288.0,1,1,0,0,0,0,66,474.3333333333333
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1310.0,0,0,0,0,0,5,118,392.3333333333333
flat,ramprastha city,sector 92,1.3,9286.0,3,3,2,3.0,Under Construction,1267.0,0,0,0,0,0,0,0,466.6666666666667
flat,pareena coban residences,sector 99a,1.6,8000.0,3,3,3,6.0,Under Construction,1810.0,0,0,0,0,0,0,0,666.6666666666666
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13.0,New Property,1418.0,0,0,0,0,0,0,75,638.0
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13.0,New Property,1155.0,0,0,0,0,0,0,71,638.0
flat,godrej summit premia towers,sector 104,0.9,7149.0,2,2,0,16.0,Relatively New,1259.0,0,0,0,0,0,0,0,629.5
flat,ardee city,sector 52,1.5,9146.0,4,4,3,3.0,Old Property,1484.0,0,0,0,0,0,0,77,410.0
flat,m3m one key resiments,sector 67,0.8,13115.0,1,1,0,0.0,Relatively New,610.0,0,0,0,0,0,0,0,610.0
flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,11.0,New Property,1529.0,0,0,0,0,0,0,66,563.3333333333334
flat,mvn athens,sector 33,0.26,5394.0,2,2,1,2.0,Relatively New,535.0,0,0,0,0,0,0,30,241.0
flat,signature the serenas,sector 33,0.42,7910.0,2,2,1,12.0,New Property,590.0,0,0,0,0,0,1,67,265.5
flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,3,3,2,2.0,New Property,1935.0,0,0,0,0,0,0,0,645.0
flat,umang monsoon breeze,sector 78,0.9,4615.0,3,3,2,1.0,Moderately Old,1900.0,0,0,0,1,1,0,83,650.0
flat,gls avenue 51,sector 92,0.42,7107.0,2,2,1,4.0,Relatively New,657.0,1,0,0,1,0,1,42,295.5
flat,signature global solera,sector 107,0.5,7692.0,2,2,1,11.0,Relatively New,494.0,0,0,0,0,0,0,62,325.0
flat,supertech araville,sector 79,0.9,5882.0,2,2,3,5.0,Relatively New,1450.0,1,0,0,0,0,0,65,765.0
flat,greenopolis,sector 89,1.3,6806.0,3,3,3+,1.0,New Property,2122.0,0,0,0,0,1,0,34,636.6666666666666
flat,central park flower valley aqua front towers,sector 33,1.7,9503.0,3,3,3,12.0,Under Construction,1619.0,0,0,0,0,0,0,47,596.3333333333334
flat,sare homes,sector 92,1.25,6200.0,4,3,0,16.0,Under Construction,2040.0,0,0,0,0,0,0,46,504.0
flat,bhagwati sadan,sector 12,1.15,5750.0,3,4,2,2.0,Old Property,2000.0,1,1,0,0,1,5,24,666.6666666666666
flat,smart world gems,sector 89,1.2,12526.0,3,3,3,3.0,Under Construction,1064.0,0,0,1,1,0,0,149,319.3333333333333
flat,micasa sec 68,sector 33 road,1.5,12245.0,2,2,3,11.0,New Property,1361.0,0,0,0,0,0,0,42,612.5
flat,eldeco accolade,sector 33,1.3,7424.0,3,3,3+,10.0,Relatively New,1509.0,0,0,0,0,0,0,46,583.6666666666666
flat,hero homes,sector 104,1.75,10361.0,3,3,3,2.0,Under Construction,1529.0,0,0,0,0,0,0,53,563.0
flat,shyam sadan,sector 3 phase 2,0.55,6471.0,2,2,1,4.0,Relatively New,778.0,1,0,0,0,0,1,74,425.0
flat,m3m heights,sector 65,2.5,13602.0,3,3,3,19.0,Under Construction,1838.0,0,0,0,0,0,0,70,612.6666666666666
flat,hanumanta apartment,sector 33,0.43,5309.0,2,2,1,1.0,Moderately Old,733.0,0,0,0,0,0,0,6,405.0
flat,supertech hilltown,sector 2,0.8,5556.0,3,2,3,8.0,Moderately Old,1440.0,0,0,0,0,0,0,0,480.0
flat,ashiyara 2,sector 37c,0.45,4500.0,3,3,2,18.0,Under Construction,905.0,0,0,0,0,0,0,0,333.3333333333333
flat,raheja vedaanta,sector 108,0.7,4667.0,2,2,1,10.0,Moderately Old,1468.0,0,0,0,0,0,0,0,750.0
flat,bptp terra,sector 37d,1.95,14444.0,4,3,3,7.0,Under Construction,1650.0,0,0,0,0,0,0,68,337.5
flat,green court,sector 90,0.45,7188.0,2,2,1,2.0,New Property,696.0,0,0,0,0,0,1,40,313.0
flat,m3m golf hills phase 1,sector 79,1.7,10828.0,3,2,3,10.0,Relatively New,1570.0,0,0,0,0,0,0,0,523.3333333333334
flat,abhinav group housing society,sector 9,1.1,6111.0,3,2,3,5.0,Old Property,2000.0,0,0,0,0,0,0,45,600.0
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2,2,1,10.0,Relatively New,578.0,0,0,0,0,0,0,19,260.0
flat,m3m heights,sector 65,2.8,14997.0,3,3,3,20.0,Under Construction,1867.0,0,0,0,0,0,0,116,622.3333333333334
